commodity,variety,market,district,state,min_price,max_price,modal_price,unit,date
Milk,Cow,Krishnanagar Mandi,Nadia,West Bengal,38.0,44.0,42.0,Litre,2026-09-01
Paddy,Common,Ranaghat Mandi,Nadia,West Bengal,2180.0,2300.0,2250.0,Quintal,2026-09-01
Jute,TD-5,Santipur Mandi,Nadia,West Bengal,5200.0,5600.0,5450.0,Quintal,2026-09-01
Potato,Jyoti,Krishnanagar Mandi,Nadia,West Bengal,1400.0,1650.0,1520.0,Quintal,2026-09-01
Broiler Chicken,Live,Ranaghat Mandi,Nadia,West Bengal,110.0,130.0,122.0,Kg,2026-09-01
Mustard Oil,Filtered,Krishnanagar Mandi,Nadia,West Bengal,145.0,160.0,155.0,Litre,2026-09-01
Wheat,Sharbati,Krishnanagar Mandi,Nadia,West Bengal,2800.0,3100.0,2950.0,Quintal,2026-09-01
Egg,Poultry,Ranaghat Mandi,Nadia,West Bengal,5.5,7.0,6.2,Piece,2026-09-01
Tomato,Local,Krishnanagar Mandi,Nadia,West Bengal,1500.0,2200.0,1800.0,Quintal,2026-09-01
Onion,Nasik,Krishnanagar Mandi,Nadia,West Bengal,1800.0,2400.0,2100.0,Quintal,2026-09-01
Fish (Rohu),Fresh,Krishnanagar Mandi,Nadia,West Bengal,250.0,320.0,280.0,Kg,2026-09-01
Brinjal,Local,Krishnanagar Mandi,Nadia,West Bengal,800.0,1200.0,1000.0,Quintal,2026-09-01
Milk,Buffalo,Krishnanagar Mandi,Nadia,West Bengal,50.0,58.0,55.0,Litre,2026-09-01
Cauliflower,Local,Krishnanagar Mandi,Nadia,West Bengal,1200.0,1800.0,1500.0,Quintal,2026-09-01
Paddy,Basmati,Krishnanagar Mandi,Nadia,West Bengal,3500.0,4200.0,3800.0,Quintal,2026-09-01
