village_code,primary_school,middle_school,high_school,phc,post_office,bank_branch,atm,electricity,bus_service,railway,mobile_network,internet,nearest_town_km
321501,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,4.5
321502,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,8.0
321503,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,6.0
321504,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,3.0
321505,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,9.5
321506,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,7.5
321507,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,5.0
321508,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,6.5
321509,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,8.5
321510,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,7.0
321511,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,5.5
321512,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,8.0
321513,YES,YES,NO,NO,YES,YES,NO,YES,YES,NO,YES,YES,6.0
321514,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,10.0
321515,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,7.5
321516,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,8.5
321517,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,7.0
321601,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,2.0
321602,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,6.5
321701,YES,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,YES,5.0
