village_code,village_name,total_pop,male_pop,female_pop,total_hh,sc_pop,st_pop,literacy_rate,main_workers,marginal_workers,non_workers,cultivators,agri_labourers,household_workers,other_workers
321501,Krishnanagar Rural,4520,2310,2210,980,1120,45,76.5,1420,380,2720,350,610,120,720
321502,Deypara,2840,1460,1380,620,890,12,71.2,890,240,1710,210,430,65,425
321503,Bethuadahari,3650,1870,1780,810,720,28,73.6,1150,290,2210,310,480,95,555
321504,Ghurni,5120,2620,2500,1140,980,55,79.8,1620,410,3090,180,380,420,1050
321505,Matiari,2210,1130,1080,480,540,18,69.4,680,180,1350,185,350,42,283
321506,Hatkhola,1890,970,920,420,380,15,67.2,590,160,1140,210,280,35,225
321507,Majdia,4380,2240,2140,950,860,42,75.1,1380,350,2650,290,520,130,790
321508,Gangnapur,3180,1630,1550,710,590,32,74.3,1010,250,1920,270,420,80,490
321509,Subarnapur,2650,1360,1290,580,510,22,70.8,830,210,1610,240,380,55,365
321510,Hanskhali,3890,1990,1900,860,740,38,72.5,1230,310,2350,310,490,75,665
321511,Nakashipara,4210,2150,2060,920,810,45,74.9,1320,340,2550,280,510,110,760
321512,Dogachia,2980,1520,1460,660,530,25,71.8,940,240,1800,260,400,65,455
321513,Debagram,3520,1800,1720,780,680,30,73.2,1110,280,2130,290,460,85,555
321514,Jhikra,1680,860,820,370,320,14,66.5,520,140,1020,190,280,25,165
321515,Char Karimpur,2450,1250,1200,540,480,20,68.7,770,200,1480,225,380,40,325
321516,Nutan Simulia,1950,1000,950,430,390,16,68.1,610,160,1180,195,310,30,235
321517,Chandpur,2320,1190,1130,510,460,19,70.2,730,190,1400,215,360,38,307
321601,Phulia,6890,3520,3370,1540,1450,88,82.4,2410,510,3970,180,310,1250,1180
321602,Gobindapur,3120,1590,1530,680,620,35,74.8,980,210,1930,280,410,85,415
321701,Habibpur,5240,2680,2560,1150,1680,102,78.1,1650,420,3170,410,650,140,870
