district_name,village_code,crop_name,season,area_hectares,production_tonnes,yield_per_hectare,year
Nadia,321501,Rice (Aman),KHARIF,450.5,1350.0,2.99,2023
Nadia,321501,Jute,KHARIF,180.0,432.0,2.40,2023
Nadia,321501,Mustard,RABI,120.0,168.0,1.40,2023
Nadia,321502,Rice (Aman),KHARIF,180.0,540.0,3.00,2023
Nadia,321502,Jute,KHARIF,75.0,180.0,2.40,2023
Nadia,321502,Mustard,RABI,45.0,63.0,1.40,2023
Nadia,321502,Potato,RABI,35.0,805.0,23.00,2023
Nadia,321502,Vegetables (Mixed),WHOLE_YEAR,28.0,420.0,15.00,2023
Nadia,321503,Rice (Aman),KHARIF,280.0,840.0,3.00,2023
Nadia,321503,Jute,KHARIF,110.0,264.0,2.40,2023
Nadia,321503,Wheat,RABI,65.0,195.0,3.00,2023
Nadia,321504,Rice (Aman),KHARIF,350.0,1085.0,3.10,2023
Nadia,321504,Mustard,RABI,90.0,126.0,1.40,2023
Nadia,321504,Vegetables (Mixed),WHOLE_YEAR,55.0,825.0,15.00,2023
Nadia,321505,Rice (Aman),KHARIF,140.0,420.0,3.00,2023
Nadia,321505,Jute,KHARIF,55.0,132.0,2.40,2023
Nadia,321506,Rice (Aman),KHARIF,120.0,360.0,3.00,2023
Nadia,321506,Jute,KHARIF,48.0,115.2,2.40,2023
Nadia,321507,Rice (Aman),KHARIF,320.0,992.0,3.10,2023
Nadia,321507,Jute,KHARIF,130.0,312.0,2.40,2023
Nadia,321507,Potato,RABI,65.0,1495.0,23.00,2023
Nadia,321507,Mustard,RABI,80.0,112.0,1.40,2023
Nadia,321508,Rice (Aman),KHARIF,230.0,690.0,3.00,2023
Nadia,321508,Jute,KHARIF,95.0,228.0,2.40,2023
Nadia,321508,Wheat,RABI,50.0,150.0,3.00,2023
Nadia,321509,Rice (Aman),KHARIF,190.0,570.0,3.00,2023
Nadia,321509,Mustard,RABI,55.0,77.0,1.40,2023
Nadia,321510,Rice (Aman),KHARIF,280.0,868.0,3.10,2023
Nadia,321510,Jute,KHARIF,115.0,276.0,2.40,2023
Nadia,321510,Potato,RABI,50.0,1150.0,23.00,2023
Nadia,321511,Rice (Aman),KHARIF,310.0,961.0,3.10,2023
Nadia,321511,Jute,KHARIF,125.0,300.0,2.40,2023
Nadia,321511,Mustard,RABI,75.0,105.0,1.40,2023
Nadia,321512,Rice (Aman),KHARIF,210.0,630.0,3.00,2023
Nadia,321512,Jute,KHARIF,85.0,204.0,2.40,2023
Nadia,321513,Rice (Aman),KHARIF,250.0,775.0,3.10,2023
Nadia,321513,Mustard,RABI,65.0,91.0,1.40,2023
Nadia,321513,Vegetables (Mixed),WHOLE_YEAR,40.0,600.0,15.00,2023
Nadia,321514,Rice (Aman),KHARIF,110.0,330.0,3.00,2023
Nadia,321514,Jute,KHARIF,42.0,100.8,2.40,2023
Nadia,321515,Rice (Aman),KHARIF,170.0,527.0,3.10,2023
Nadia,321515,Mustard,RABI,50.0,70.0,1.40,2023
Nadia,321516,Rice (Aman),KHARIF,130.0,390.0,3.00,2023
Nadia,321516,Jute,KHARIF,50.0,120.0,2.40,2023
Nadia,321517,Rice (Aman),KHARIF,155.0,465.0,3.00,2023
Nadia,321517,Mustard,RABI,42.0,58.8,1.40,2023
Nadia,321601,Rice (Boro),RABI,310.0,1085.0,3.50,2023
Nadia,321601,Potato,RABI,85.0,1955.0,23.00,2023
Nadia,321701,Rice (Aman),KHARIF,520.0,1612.0,3.10,2023
