village_code,animal_type,total_count,milk_producing,census_year
321501,Cattle,420,185,2019
321501,Goat,310,0,2019
321501,Poultry,2400,0,2019
321501,Buffalo,65,28,2019
321502,Cattle,280,120,2019
321502,Goat,195,0,2019
321502,Poultry,1650,0,2019
321502,Buffalo,42,18,2019
321502,Duck,340,0,2019
321503,Cattle,350,155,2019
321503,Goat,240,0,2019
321503,Poultry,1900,0,2019
321503,Buffalo,55,22,2019
321504,Cattle,480,210,2019
321504,Goat,380,0,2019
321504,Poultry,3200,0,2019
321504,Buffalo,85,35,2019
321505,Cattle,190,82,2019
321505,Goat,145,0,2019
321505,Poultry,980,0,2019
321506,Cattle,160,70,2019
321506,Goat,120,0,2019
321506,Poultry,850,0,2019
321507,Cattle,390,170,2019
321507,Goat,285,0,2019
321507,Poultry,2200,0,2019
321507,Buffalo,60,25,2019
321508,Cattle,310,135,2019
321508,Goat,220,0,2019
321508,Poultry,1700,0,2019
321509,Cattle,240,105,2019
321509,Goat,175,0,2019
321509,Poultry,1300,0,2019
321510,Cattle,360,158,2019
321510,Goat,260,0,2019
321510,Poultry,2100,0,2019
321510,Buffalo,50,20,2019
321511,Cattle,400,175,2019
321511,Goat,290,0,2019
321511,Poultry,2350,0,2019
321512,Cattle,270,118,2019
321512,Goat,190,0,2019
321512,Poultry,1450,0,2019
321513,Cattle,320,140,2019
321513,Goat,230,0,2019
321513,Poultry,1800,0,2019
321514,Cattle,150,65,2019
321514,Goat,110,0,2019
321514,Poultry,750,0,2019
321515,Cattle,220,95,2019
321515,Goat,160,0,2019
321515,Poultry,1200,0,2019
321516,Cattle,175,76,2019
321516,Goat,130,0,2019
321516,Poultry,900,0,2019
321517,Cattle,210,92,2019
321517,Goat,155,0,2019
321517,Poultry,1100,0,2019
321601,Cattle,290,120,2019
321601,Goat,450,0,2019
321701,Cattle,580,240,2019
321701,Buffalo,110,45,2019
321701,Poultry,8500,0,2019
