village_code,road_type,surface_type,nearest_town,distance_km
321501,STATE_HIGHWAY,Paved,Krishnanagar,4.5
321502,PMGSY_ROAD,Paved,Krishnanagar,8.0
321503,DISTRICT_ROAD,Paved,Krishnanagar,6.0
321504,STATE_HIGHWAY,Paved,Krishnanagar,3.0
321505,VILLAGE_ROAD,Unpaved,Krishnanagar,9.5
321506,PMGSY_ROAD,Paved,Krishnanagar,7.5
321507,DISTRICT_ROAD,Paved,Krishnanagar,5.0
321508,PMGSY_ROAD,Paved,Krishnanagar,6.5
321509,VILLAGE_ROAD,Unpaved,Krishnanagar,8.5
321510,DISTRICT_ROAD,Paved,Krishnanagar,7.0
321511,DISTRICT_ROAD,Paved,Krishnanagar,5.5
321512,VILLAGE_ROAD,Unpaved,Krishnanagar,8.0
321513,PMGSY_ROAD,Paved,Krishnanagar,6.0
321514,VILLAGE_ROAD,Unpaved,Krishnanagar,10.0
321515,PMGSY_ROAD,Paved,Krishnanagar,7.5
321516,VILLAGE_ROAD,Unpaved,Krishnanagar,8.5
321517,PMGSY_ROAD,Paved,Krishnanagar,7.0
321601,DISTRICT_ROAD,Paved,Santipur,2.0
321602,VILLAGE_ROAD,Unpaved,Santipur,6.5
321701,STATE_HIGHWAY,Paved,Ranaghat,5.0
