udyam_id,enterprise_name,category,subcategory,products,village_code,latitude,longitude,scale,price_range,seasonality
UDYAM-WB-10-0012345,Nadia Dairy Co-op,DAIRY,Milk Processing,"Milk, Paneer, Curd",321501,23.4015,88.5012,MICRO,MEDIUM,Year-round
UDYAM-WB-10-0012346,Phulia Handloom Weavers,TEXTILES_TAILORING,Handloom Sarees,"Taant Saree, Cotton Dupatta",321601,23.2415,88.5135,SMALL,HIGH,Year-round
UDYAM-WB-10-0012347,Maa Tara Poultry Farm,POULTRY,Egg & Broiler,"Broiler Chicken, Eggs",321701,23.1785,88.5638,MICRO,LOW,Year-round
UDYAM-WB-10-0012348,Santipur Jute Crafts,HANDICRAFT,Jute Products,"Jute Bags, Mats",321602,23.2291,88.4908,MICRO,MEDIUM,Oct-Mar
UDYAM-WB-10-0012349,Deypara Grocery & General Store,RETAIL,General Store,"FMCG, Grocery",321502,23.3858,88.4725,MICRO,LOW,Year-round
UDYAM-WB-10-0012350,Ghurni Clay Art Workshop,HANDICRAFT,Clay Modelling,"Decorative Dolls, Durga Idols",321504,23.3968,88.4882,SMALL,MEDIUM,Year-round
UDYAM-WB-10-0012351,Majdia Rice Mill,FOOD_PROCESSING,Rice Milling,"Polished Rice, Parboiled Rice",321507,23.3785,88.5125,MICRO,LOW,Year-round
UDYAM-WB-10-0012352,Bethuadahari Sweet Shop,FOOD_PROCESSING,Sweets Manufacturing,"Rasgulla, Sandesh, Rosogolla",321503,23.3925,88.4385,MICRO,MEDIUM,Year-round
UDYAM-WB-10-0012353,Krishnanagar Milk Chilling,DAIRY,Milk Collection,"Chilled Milk, Cream",321501,23.4018,88.5008,MICRO,LOW,Year-round
UDYAM-WB-10-0012354,Hanskhali Poultry & Eggs,POULTRY,Layer Farm,"Eggs, Spent Hens",321510,23.3505,88.4605,MICRO,LOW,Year-round
UDYAM-WB-10-0012355,Nakashipara Tailoring Centre,TEXTILES_TAILORING,Tailoring,"Shirts, Blouses, Alterations",321511,23.4215,88.4355,MICRO,LOW,Year-round
UDYAM-WB-10-0012356,Subarnapur Agri Services,SERVICES,Agricultural Services,"Tractor Hire, Spraying",321509,23.3645,88.4855,MICRO,LOW,Year-round
UDYAM-WB-10-0012357,Deypara Milk Co-op,DAIRY,Milk Collection,"Raw Milk, Curd",321502,23.3852,88.4718,MICRO,LOW,Year-round
UDYAM-WB-10-0012358,Gangnapur Kirana Store,RETAIL,General Store,"Grocery, Toiletries",321508,23.4155,88.4505,MICRO,LOW,Year-round
UDYAM-WB-10-0012359,Debagram Fish & Feed,LIVESTOCK,Fish Feed,"Fish Feed, Fingerlings",321513,23.3605,88.5055,MICRO,MEDIUM,Year-round
UDYAM-WB-10-0012360,Matiari Mustard Oil Ghani,FOOD_PROCESSING,Oil Pressing,"Mustard Oil, Oil Cake",321505,23.3715,88.4595,MICRO,LOW,RABI
UDYAM-WB-10-0012361,Hatkhola Transport & Loading,TRANSPORT,Goods Transport,"Van Rickshaw, Toto Services",321506,23.4095,88.4655,MICRO,LOW,Year-round
UDYAM-WB-10-0012362,Char Karimpur Bamboo Works,HANDICRAFT,Bamboo Craft,"Baskets, Mats, Murah",321515,23.4305,88.4905,MICRO,LOW,Year-round
UDYAM-WB-10-0012363,Jhikra Mobile Repair,SERVICES,Electronics Repair,"Mobile Repair, Recharge",321514,23.3455,88.4905,MICRO,LOW,Year-round
UDYAM-WB-10-0012364,Nutan Simulia Vegetables,AGRICULTURE,Vegetable Farming,"Tomato, Brinjal, Cauliflower",321516,23.3905,88.4555,MICRO,LOW,Year-round
